YEAR,MONTH,mean_TMAX,mean_TMIN,mean_SNWD,max_SNWD,mean_PRCP,sum_PRCP,below_0_days,snowy_days,rainy_days,dry_days
1990,1,5.422580645161291,0.9290322580645163,5.161290322580645,40.0,1.0096774193548388,31.3,5,6,17,8
1990,2,10.739285714285714,2.6,2.142857142857143,60.0,2.3964285714285714,67.1,0,1,14,13
1990,3,11.94516129032258,3.7774193548387096,0.6451612903225806,20.0,0.7096774193548387,22.0,0,0,0,0
1990,4,14.49,3.9833333333333334,0.0,0.0,1.2266666666666666,36.8,0,0,0,0
1990,5,21.193548387096776,8.832258064516129,0.0,0.0,1.0032258064516129,31.099999999999998,0,0,0,0
1990,6,20.93,12.336666666666668,0.0,0.0,5.556666666666667,166.7,0,0,0,0
1990,7,23.061290322580643,12.516129032258064,0.0,0.0,0.49999999999999994,15.499999999999998,0,0,0,0
1990,8,25.032258064516128,13.709677419354838,0.0,0.0,2.9129032258064513,90.3,0,0,0,0
1990,9,16.48,9.43,0.0,0.0,1.8633333333333333,55.9,0,0,0,0
1990,10,15.306451612903226,6.209677419354839,0.0,0.0,0.3129032258064516,9.7,0,0,0,0
1990,11,7.163333333333333,2.85,0.0,0.0,1.8933333333333333,56.8,0,0,0,0
1990,12,2.5,-1.4258064516129034,54.193548387096776,170.0,2.2903225806451615,71.0,4,17,7,7
1991,1,4.303225806451613,-1.0096774193548388,0.0,0.0,0.8548387096774194,26.5,3,0,14,17
1991,2,0.4928571428571429,-5.7821428571428575,88.57142857142857,220.0,1.1357142857142857,31.8,15,22,2,4
1991,3,11.325806451612904,2.52258064516129,0.0,0.0,1.3483870967741935,41.8,0,0,0,0
1991,4,13.086666666666668,2.993333333333333,0.6666666666666666,20.0,1.2233333333333334,36.7,0,0,0,0
1991,5,14.964516129032257,5.829032258064516,0.0,0.0,1.1387096774193548,35.3,0,0,0,0
1991,6,19.35666666666667,9.723333333333333,0.0,0.0,2.98,89.4,0,0,0,0
1991,7,25.9741935483871,14.3,0.0,0.0,0.9161290322580645,28.4,0,0,0,0
1991,8,23.493548387096773,13.480645161290322,0.0,0.0,2.893548387096774,89.7,0,0,0,0
1991,9,21.35,10.270000000000001,0.0,0.0,0.45999999999999996,13.799999999999999,0,0,0,0
1991,10,13.929032258064517,4.587096774193548,0.0,0.0,0.8225806451612904,25.5,0,0,0,0
1991,11,6.956666666666666,1.5933333333333333,0.0,0.0,1.5599999999999998,46.8,0,0,0,0
1991,12,3.870967741935484,-1.7129032258064516,0.0,0.0,1.3064516129032258,40.5,3,0,13,18
